Seq No.,Week,Week Label,Month,Month Label
1,W01,Week 01,M01,Feb
2,W02,Week 02,M01,Feb
3,W03,Week 03,M01,Feb
4,W04,Week 04,M01,Feb
5,W05,Week 05,M02,Mar
6,W06,Week 06,M02,Mar
7,W07,Week 07,M02,Mar
8,W08,Week 08,M02,Mar
9,W09,Week 09,M02,Mar
10,W10,Week 10,M03,Apr
11,W11,Week 11,M03,Apr
12,W12,Week 12,M03,Apr
13,W13,Week 13,M03,Apr
14,W14,Week 14,M04,May
15,W15,Week 15,M04,May
16,W16,Week 16,M04,May
17,W17,Week 17,M04,May
18,W18,Week 18,M05,Jun
19,W19,Week 19,M05,Jun
20,W20,Week 20,M05,Jun
21,W21,Week 21,M05,Jun
22,W22,Week 22,M05,Jun
23,W23,Week 23,M06,Jul
24,W24,Week 24,M06,Jul
25,W25,Week 25,M06,Jul
26,W26,Week 26,M06,Jul
27,W27,Week 27,M07,Aug
28,W28,Week 28,M07,Aug
29,W29,Week 29,M07,Aug
30,W30,Week 30,M07,Aug
31,W31,Week 31,M08,Sep
32,W32,Week 32,M08,Sep
33,W33,Week 33,M08,Sep
34,W34,Week 34,M08,Sep
35,W35,Week 35,M08,Sep
36,W36,Week 36,M09,Oct
37,W37,Week 37,M09,Oct
38,W38,Week 38,M09,Oct
39,W39,Week 39,M09,Oct
40,W40,Week 40,M10,Nov
41,W41,Week 41,M10,Nov
42,W42,Week 42,M10,Nov
43,W43,Week 43,M10,Nov
44,W44,Week 44,M11,Dec
45,W45,Week 45,M11,Dec
46,W46,Week 46,M11,Dec
47,W47,Week 47,M11,Dec
48,W48,Week 48,M11,Dec
49,W49,Week 49,M12,Jan
50,W50,Week 50,M12,Jan
51,W51,Week 51,M12,Jan
52,W52,Week 52,M12,Jan
