Seq,ID,Label,City,State
1,ST035,San Francisco Bay Trends,San Francisco,CA
2,ST046,Phoenix Sunwear,Phoenix,AZ
3,ST064,Dallas Ranch Supply,Dallas,TX
4,ST066,Atlanta Outfitters,Atlanta,GA
5,ST073,Nashville Melody Music Store,Nashville,TN
6,ST074,New York Empire Eats,New York,NY
7,ST091,Denver Peaks Outdoor,Denver,CO
8,ST094,Philadelphia Liberty Market,Philadelphia,PA
9,ST097,Boston Harbor Books,Boston,MA
10,ST101,Austin Vibe Co.,Austin,TX
11,ST131,Los Angeles Luxe,Los Angeles,CA
12,ST150,Houston Harvest Market,Houston,TX
13,ST151,Portland Evergreen Goods,Portland,OR
14,ST156,Chicago Charm Boutique,Chicago,IL
15,ST163,Las Vegas Neon Treasures,Las Vegas,NV
16,ST175,Seattle Skyline Goods,Seattle,WA
17,ST176,Miami Breeze Apparel,Miami,FL
18,ST177,San Diego Wave Surf Shop,San Diego,CA
19,ST193,Charlotte Queen���s Closet,Charlotte,NC
20,ST208,Detroit Motor Gear,Detroit,MI
